ra,iaa_autoavaliacao,ida_desempenho_academico,ieg_engajamento_atividades,ipp_psicopedagogicos,ian_adequacao_nivel,ips_aspectos_psicossociais,ipv_ponto_virada,inde_indice_desen_educacional,requer_psicologia,atingiu_pv,defasagem,ano_arquivo,risco
RA-1381,9.5,9.5,10.0,8.75,10.0,8.13,7.5,,,,,2024,0
RA-1382,8.5,7.5,9.76,7.81,5.0,7.51,7.5,,,,,2024,0
RA-1383,8.5,8.5,9.26,7.19,10.0,7.51,7.5,,,,,2024,0
RA-1384,8.0,5.0,7.57,6.25,5.0,7.51,5.16,,,,,2024,0
RA-1385,10.0,8.0,10.0,6.88,5.0,4.39,7.5,,,,,2024,0
RA-1386,9.0,7.25,9.76,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1387,9.5,8.0,8.76,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1388,9.0,5.0,8.21,7.5,5.0,6.88,7.67,,,,,2024,0
RA-1389,9.0,10.0,9.79,7.5,10.0,6.88,8.42,,,,,2024,0
RA-139,7.1,1.4,3.5,,2.5,5.0,3.92,3.74,Requer avaliação,Não,-3.0,2022,0
RA-1390,9.5,8.25,9.79,7.5,10.0,5.01,8.42,,,,,2024,0
RA-1391,8.5,10.0,9.29,7.5,10.0,7.51,8.17,,,,,2024,0
RA-1392,9.0,0.0,5.63,7.5,5.0,7.51,7.0,,,,,2024,0
RA-1393,9.5,5.0,7.5,7.5,10.0,3.76,8.42,,,,,2024,0
RA-1394,9.5,5.75,8.69,8.13,5.0,7.51,8.0,,,,,2024,0
RA-1395,9.5,7.75,10.0,7.81,10.0,7.51,7.84,,,,,2024,0
RA-1396,9.5,6.5,10.0,8.13,5.0,7.51,7.67,,,,,2024,0
RA-1397,9.0,7.0,10.0,8.13,5.0,6.26,7.95,,,,,2024,0
RA-1398,6.92,8.0,9.56,8.13,5.0,7.51,8.62,,,,,2024,0
RA-1399,9.0,6.0,9.77,7.5,5.0,5.01,8.17,,,,,2024,0
RA-14,7.9,4.0,8.3,,5.0,7.5,7.75,6.79,Não atendido,Não,-1.0,2022,0
RA-14,,,,,10.0,,,6.79,,,,2023,0
RA-14,,,0.0,,10.0,,,6.79,,,,2024,0
RA-140,7.9,5.7,7.6,,10.0,6.9,7.67,7.41,Não atendido,Não,0.0,2022,0
RA-1400,8.42,7.25,6.65,7.5,10.0,7.51,7.5,,,,,2024,0
RA-1401,6.92,10.0,8.89,7.81,5.0,7.51,8.09,,,,,2024,0
RA-1402,10.0,7.25,9.55,8.44,10.0,7.51,8.17,,,,,2024,0
RA-1403,9.0,8.75,9.31,8.44,5.0,7.51,8.26,,,,,2024,0
RA-1404,8.5,7.5,9.09,8.44,10.0,7.51,8.17,,,,,2024,0
RA-1405,8.0,8.75,8.64,8.13,10.0,7.51,8.17,,,,,2024,0
RA-1406,8.0,7.5,8.86,8.44,5.0,7.51,8.26,,,,,2024,0
RA-1407,10.0,5.75,9.32,7.81,5.0,7.51,7.5,,,,,2024,0
RA-1408,10.0,6.75,8.41,8.44,5.0,7.51,7.5,,,,,2024,0
RA-1409,10.0,7.25,9.09,8.44,5.0,7.51,7.5,,,,,2024,0
RA-141,9.2,5.7,8.2,,10.0,5.6,5.92,7.12,Requer avaliação,Não,0.0,2022,1
RA-141,9.6,4.5,8.4,7.03,5.0,5.63,7.04,7.12,,,,2023,0
RA-1410,9.0,6.25,8.11,8.75,5.0,7.51,8.17,,,,,2024,0
RA-1411,9.0,2.75,9.5,8.44,5.0,6.26,7.84,,,,,2024,0
RA-1412,10.0,9.75,9.31,8.75,10.0,7.51,8.84,,,,,2024,0
RA-1413,9.0,7.25,8.59,8.44,5.0,7.51,7.92,,,,,2024,0
RA-1414,9.5,8.5,9.3,8.75,10.0,6.89,8.84,,,,,2024,0
RA-1415,8.0,6.75,9.77,7.29,5.0,6.26,7.06,,,,,2024,0
RA-1416,8.5,7.75,8.28,7.92,5.0,7.51,6.39,,,,,2024,0
RA-1417,9.0,9.0,9.34,6.25,5.0,7.51,6.5,,,,,2024,0
RA-1418,8.5,8.25,9.13,7.92,5.0,7.51,6.83,,,,,2024,0
RA-1419,8.5,7.5,10.0,8.96,10.0,7.51,8.78,,,,,2024,0
RA-142,6.7,6.3,8.6,,10.0,5.6,7.58,7.46,Requer avaliação,Não,0.0,2022,0
RA-1420,7.92,4.5,5.52,6.46,5.0,6.26,5.44,,,,,2024,0
RA-1421,9.0,7.5,6.78,6.88,5.0,7.51,7.16,,,,,2024,0
RA-1422,9.5,4.75,7.5,8.13,5.0,7.51,7.75,,,,,2024,0
RA-1423,8.5,5.75,5.31,7.81,5.0,7.51,6.54,,,,,2024,0
RA-1424,9.0,7.25,8.94,7.81,5.0,7.51,6.92,,,,,2024,0
RA-1425,9.0,7.0,6.8,7.34,5.0,7.51,5.92,,,,,2024,0
RA-1426,9.5,2.75,5.85,7.5,5.0,7.51,5.83,,,,,2024,0
RA-1427,9.5,8.0,10.0,8.91,5.0,7.51,8.67,,,,,2024,0
RA-1428,8.5,8.0,8.86,9.17,5.0,7.51,8.09,,,,,2024,0
RA-1429,9.5,7.75,8.89,8.96,5.0,7.51,8.09,,,,,2024,0
RA-143,8.3,7.9,9.9,,10.0,5.6,9.5,8.64,Sem limitações,Sim,1.0,2022,1
RA-143,8.3,6.5,9.6,8.28,10.0,2.52,8.34,8.64,,,,2023,1
RA-143,10.0,2.63,9.92,7.5,10.0,6.89,7.5,8.64,,,,2024,0
RA-1430,8.5,6.25,10.0,8.96,5.0,7.51,8.09,,,,,2024,0
RA-1431,9.0,8.0,7.74,7.97,5.0,7.51,9.09,,,,,2024,0
RA-1432,10.0,9.5,10.0,9.22,5.0,7.51,8.51,,,,,2024,0
RA-1433,8.5,8.75,9.07,8.28,5.0,7.51,8.51,,,,,2024,0
RA-1434,8.5,9.0,7.98,9.53,5.0,6.26,9.76,,,,,2024,0
RA-1435,9.5,7.5,7.83,7.19,10.0,7.51,6.17,,,,,2024,0
RA-1436,7.42,8.0,8.67,8.28,5.0,7.51,7.17,,,,,2024,0
RA-1437,8.5,8.0,9.35,8.28,5.0,7.51,7.92,,,,,2024,0
RA-1438,10.0,7.0,9.0,8.91,5.0,7.51,9.18,,,,,2024,0
RA-1439,7.5,8.5,10.0,9.38,5.0,7.51,9.35,,,,,2024,0
RA-144,7.5,7.9,9.3,,10.0,5.0,8.29,8.18,Requer avaliação,Não,0.0,2022,1
RA-144,0.0,4.4,5.2,6.25,10.0,2.52,6.0,8.18,,,,2023,0
RA-1440,9.0,4.5,9.54,8.75,5.0,7.51,8.17,,,,,2024,0
RA-1441,9.5,8.5,9.11,9.38,10.0,7.51,9.01,,,,,2024,0
RA-1442,8.0,7.25,8.67,7.5,5.0,7.51,5.75,,,,,2024,0
RA-1443,6.92,6.75,7.5,7.71,5.0,6.26,7.42,,,,,2024,0
RA-1444,8.5,6.0,5.28,7.71,5.0,7.51,7.42,,,,,2024,0
RA-1445,9.5,7.25,9.5,7.92,5.0,7.51,7.5,,,,,2024,0
RA-1446,8.0,0.0,6.65,7.29,10.0,6.26,7.08,,,,,2024,0
RA-1447,9.5,5.25,9.74,7.92,5.0,7.51,7.75,,,,,2024,0
RA-1448,9.0,6.0,9.53,7.5,5.0,7.51,7.29,,,,,2024,0
RA-1449,7.42,6.75,8.33,7.97,5.0,7.51,7.04,,,,,2024,0
RA-145,0.0,5.2,6.3,,5.0,8.1,7.25,5.85,Sem limitações,Não,-2.0,2022,0
RA-145,7.9,6.2,9.0,7.97,2.5,,7.46,5.85,,,,2023,0
RA-1450,9.5,3.5,8.57,7.81,10.0,7.51,7.54,,,,,2024,0
RA-1451,10.0,6.0,8.81,7.97,5.0,7.51,7.75,,,,,2024,0
RA-1452,9.0,7.75,10.0,7.92,10.0,7.51,8.17,,,,,2024,0
RA-1453,8.5,6.5,7.82,7.5,5.0,6.25,7.67,,,,,2024,0
RA-1454,8.0,7.75,5.88,7.71,10.0,7.51,8.28,,,,,2024,0
RA-1455,8.0,3.5,7.78,7.71,5.0,7.51,7.83,,,,,2024,0
RA-1456,9.5,7.75,9.51,7.5,10.0,7.51,7.95,,,,,2024,0
RA-1457,3.5,2.75,8.04,7.29,5.0,7.51,7.66,,,,,2024,0
RA-1458,8.75,3.25,7.28,6.04,5.0,7.51,5.21,,,,,2024,0
RA-1459,8.0,3.75,8.3,7.5,5.0,7.51,7.27,,,,,2024,0
RA-146,8.3,7.9,9.2,,5.0,7.5,8.21,7.95,Não atendido,Não,-1.0,2022,0
RA-146,6.2,7.9,9.5,8.44,5.0,5.0,8.21,7.95,,,,2023,0
RA-146,8.75,9.33,9.51,7.66,5.0,5.64,8.3,7.95,,,,2024,0
RA-1460,9.5,3.25,7.46,6.88,10.0,7.51,6.27,,,,,2024,0
RA-1461,10.0,2.75,9.27,7.5,5.0,7.51,7.33,,,,,2024,0
RA-1462,8.5,6.5,10.0,8.13,5.0,7.51,7.05,,,,,2024,0
RA-1463,8.5,10.0,9.72,9.06,10.0,7.51,8.11,,,,,2024,0
RA-1464,8.0,6.25,7.79,9.06,5.0,7.51,7.61,,,,,2024,0
RA-1465,7.42,5.75,8.75,8.75,5.0,7.51,7.83,,,,,2024,0
RA-1466,10.0,7.5,7.38,8.75,10.0,7.51,8.06,,,,,2024,0
RA-1467,9.0,9.25,9.02,8.75,10.0,7.51,8.28,,,,,2024,0
RA-1468,8.5,7.0,8.97,8.44,10.0,7.51,7.44,,,,,2024,0
RA-1469,8.5,4.75,9.44,8.75,5.0,7.51,8.22,,,,,2024,0
RA-147,8.3,6.1,7.7,,10.0,7.5,7.25,7.54,Não atendido,Não,0.0,2022,1
RA-147,0.0,4.5,7.0,6.88,5.0,5.63,7.46,7.54,,,,2023,0
RA-147,8.33,6.17,9.28,7.5,5.0,7.51,7.39,7.54,,,,2024,0
RA-1470,8.0,5.0,6.36,6.88,5.0,6.26,5.41,,,,,2024,0
RA-1471,10.0,7.5,7.2,7.66,5.0,7.51,7.24,,,,,2024,0
RA-1472,8.5,8.75,10.0,7.97,10.0,7.51,8.13,,,,,2024,0
RA-1473,9.5,5.25,8.44,6.56,5.0,5.63,6.42,,,,,2024,0
RA-1474,8.0,7.5,7.96,6.72,10.0,5.63,6.29,,,,,2024,0
RA-1475,9.0,5.0,8.07,7.5,10.0,7.51,6.99,,,,,2024,0
RA-1476,9.5,8.5,10.0,8.44,10.0,5.64,8.75,,,,,2024,0
RA-1477,8.0,5.0,8.01,6.41,10.0,7.51,6.29,,,,,2024,0
RA-1478,8.0,4.25,6.67,6.88,10.0,6.26,7.12,,,,,2024,0
RA-1479,8.5,4.25,6.2,7.19,10.0,7.51,6.03,,,,,2024,0
RA-148,9.2,5.3,7.9,,10.0,10.0,7.71,7.89,Sem limitações,Não,0.0,2022,0
RA-1480,8.5,5.5,8.88,7.19,5.0,7.51,7.0,,,,,2024,0
RA-1481,8.5,4.75,8.78,6.88,5.0,7.51,6.83,,,,,2024,0
RA-1482,8.5,0.0,5.0,7.5,5.0,7.51,6.87,,,,,2024,0
RA-1483,9.5,6.5,7.91,5.78,10.0,7.51,5.75,,,,,2024,0
RA-1484,9.0,7.0,10.0,7.5,5.0,6.26,7.89,,,,,2024,0
RA-1485,9.0,5.0,7.74,7.5,5.0,5.63,7.39,,,,,2024,0
RA-1486,8.0,5.75,5.43,7.92,10.0,6.26,7.06,,,,,2024,0
RA-1487,10.0,8.25,9.57,7.71,5.0,6.26,7.83,,,,,2024,0
RA-1488,8.0,3.5,7.11,7.5,10.0,7.51,6.72,,,,,2024,0
RA-1489,9.0,5.0,5.79,6.67,5.0,6.26,5.66,,,,,2024,0
RA-149,9.2,5.0,6.5,,5.0,7.5,6.13,6.32,Não atendido,Não,-1.0,2022,1
RA-149,8.8,4.7,4.2,7.5,5.0,2.52,7.29,6.32,,,,2023,1
RA-149,9.59,3.83,4.1,7.34,5.0,6.26,6.63,6.32,,,,2024,0
RA-1490,8.5,7.75,9.57,6.67,5.0,6.26,6.33,,,,,2024,0
RA-1491,9.0,6.5,6.25,7.5,10.0,7.51,7.78,,,,,2024,0
RA-1492,8.0,8.0,8.81,8.75,10.0,7.51,8.45,,,,,2024,0
RA-1493,8.5,4.0,7.85,7.19,5.0,7.51,5.95,,,,,2024,0
RA-1494,0.0,4.25,6.78,7.5,10.0,7.51,5.84,,,,,2024,0
RA-1495,9.0,8.25,8.32,8.75,10.0,7.51,8.22,,,,,2024,0
RA-1496,9.0,4.25,5.71,7.81,10.0,7.51,6.77,,,,,2024,0
RA-1497,0.0,2.0,5.02,6.88,10.0,7.51,7.0,,,,,2024,0
RA-1498,8.5,7.0,7.84,8.13,5.0,7.51,6.33,,,,,2024,0
RA-1499,8.42,6.5,9.25,8.13,10.0,6.89,7.11,,,,,2024,0
RA-15,8.8,7.3,10.0,,5.0,7.5,7.29,7.78,Não atendido,Não,-1.0,2022,0
RA-150,9.6,6.9,6.3,,5.0,6.9,7.33,6.96,Sem limitações,Não,-2.0,2022,0
RA-1500,9.5,3.5,8.33,8.44,10.0,6.89,7.56,,,,,2024,0
RA-1501,9.5,5.0,10.0,8.44,10.0,7.51,7.5,,,,,2024,0
RA-1502,8.0,5.25,7.63,7.81,5.0,7.51,7.39,,,,,2024,0
RA-1503,7.5,2.75,10.0,8.96,5.0,7.51,7.72,,,,,2024,0
RA-1504,7.5,6.75,4.61,5.83,5.0,5.63,6.94,,,,,2024,0
RA-1505,9.5,3.75,7.53,8.75,5.0,7.51,6.94,,,,,2024,0
RA-1506,8.0,3.5,8.39,6.46,10.0,7.51,7.89,,,,,2024,0
RA-1507,6.92,5.0,4.45,4.58,5.0,7.51,3.78,,,,,2024,0
RA-1508,7.5,9.25,7.23,7.5,10.0,7.51,8.17,,,,,2024,0
RA-1509,8.5,7.5,6.52,6.67,10.0,7.51,7.45,,,,,2024,0
RA-151,8.8,8.3,7.5,,5.0,6.9,7.96,7.56,Sem limitações,Não,-2.0,2022,1
RA-151,0.0,7.9,7.8,8.59,5.0,7.52,8.17,7.56,,,,2023,0
RA-1510,10.0,10.0,9.77,9.58,10.0,7.51,9.0,,,,,2024,0
RA-1511,10.0,8.75,9.33,8.44,10.0,7.51,8.56,,,,,2024,0
RA-1512,9.5,5.5,10.0,7.81,10.0,7.51,7.61,,,,,2024,0
RA-1513,8.5,3.75,7.53,7.5,5.0,7.51,7.22,,,,,2024,0
RA-1514,9.0,5.5,7.98,7.19,10.0,7.51,7.27,,,,,2024,0
RA-1515,6.42,3.5,6.67,6.88,5.0,6.26,6.72,,,,,2024,0
RA-1516,9.59,4.67,5.4,7.97,10.0,9.38,7.55,,,,,2024,0
RA-1517,9.17,4.67,4.31,7.5,5.0,9.38,6.71,,,,,2024,0
RA-1518,7.08,1.75,5.71,7.66,5.0,9.38,6.58,,,,,2024,0
RA-1519,9.59,4.83,5.56,7.97,10.0,8.76,7.5,,,,,2024,0
RA-152,8.3,6.5,7.0,,5.0,7.5,6.29,6.71,Não atendido,Não,-2.0,2022,1
RA-152,7.9,4.5,7.7,7.81,5.0,2.52,7.71,6.71,,,,2023,0
RA-152,7.5,5.17,7.34,7.81,5.0,5.63,7.44,6.71,,,,2024,0
RA-1520,8.33,3.75,9.06,7.66,5.0,8.75,7.33,,,,,2024,0
RA-1521,7.5,3.17,6.16,6.09,5.0,2.51,5.45,,,,,2024,0
RA-1522,8.75,7.0,10.0,6.88,10.0,9.38,7.13,,,,,2024,0
RA-1523,6.67,8.17,9.28,8.91,10.0,8.76,8.76,,,,,2024,0
RA-1524,7.92,4.0,2.78,7.66,5.0,7.51,6.92,,,,,2024,0
RA-1525,7.92,7.0,8.29,8.54,10.0,5.63,7.55,,,,,2024,0
RA-1526,9.17,3.75,10.0,8.13,10.0,8.75,8.13,,,,,2024,0
RA-1527,9.17,8.0,10.0,7.97,10.0,7.51,7.84,,,,,2024,0
RA-1528,9.17,5.67,7.79,7.97,10.0,7.51,7.34,,,,,2024,0
RA-1529,6.67,5.5,7.44,8.13,5.0,7.51,6.96,,,,,2024,0
RA-153,7.9,6.6,8.2,,10.0,5.0,7.71,7.54,Requer avaliação,Não,0.0,2022,1
RA-153,9.2,6.4,7.4,8.13,10.0,2.52,7.71,7.54,,,,2023,1
RA-153,8.75,0.0,0.0,7.5,10.0,6.57,7.5,7.54,,,,2024,0
RA-1530,0.0,2.83,2.52,7.03,10.0,8.13,5.26,,,,,2024,0
RA-1531,8.75,5.83,7.97,7.34,5.0,7.51,7.14,,,,,2024,0
RA-1532,0.0,2.0,3.91,7.5,5.0,7.51,6.83,,,,,2024,0
RA-1533,9.17,9.5,9.71,8.5,10.0,8.14,8.34,,,,,2024,0
RA-1534,7.92,1.17,9.67,8.0,10.0,8.14,8.08,,,,,2024,0
RA-1535,8.75,5.83,5.1,7.13,10.0,7.51,7.92,,,,,2024,0
RA-1536,9.17,7.0,8.72,7.88,5.0,8.14,7.46,,,,,2024,0
RA-1537,9.17,8.67,8.33,8.13,5.0,8.14,8.67,,,,,2024,0
RA-1538,9.17,7.17,7.94,7.92,10.0,8.13,7.11,,,,,2024,0
RA-1539,6.67,6.83,9.03,7.71,10.0,6.89,7.06,,,,,2024,0
RA-154,8.3,4.0,6.1,,5.0,6.3,6.83,6.07,Sem limitações,Não,-1.0,2022,0
RA-1540,8.33,2.67,5.0,7.13,5.0,7.51,6.83,,,,,2024,0
RA-1541,9.17,8.17,8.63,8.25,10.0,6.88,7.74,,,,,2024,0
RA-1542,7.5,3.17,6.3,7.38,5.0,8.14,6.97,,,,,2024,0
RA-1543,7.5,5.0,8.08,7.25,5.0,7.51,7.07,,,,,2024,0
RA-1544,8.33,5.83,8.67,6.63,5.0,6.89,6.6,,,,,2024,0
RA-1545,7.5,8.17,6.21,6.25,10.0,8.13,6.17,,,,,2024,0
RA-1546,8.33,4.67,6.37,7.5,10.0,8.75,6.17,,,,,2024,0
RA-1547,7.92,6.67,6.47,7.5,5.0,8.13,6.34,,,,,2024,0
RA-1548,8.33,4.83,5.24,7.5,10.0,7.51,5.67,,,,,2024,0
RA-1549,9.59,4.17,7.44,7.19,5.0,7.51,6.33,,,,,2024,0
RA-155,10.0,5.2,8.3,,5.0,7.5,6.83,7.05,Não atendido,Não,-2.0,2022,1
RA-155,7.9,4.4,8.1,7.03,5.0,5.0,6.59,7.05,,,,2023,0
RA-155,,,0.0,,10.0,,,7.05,,,,2024,0
RA-1550,9.59,4.33,5.22,7.03,5.0,7.51,6.2,,,,,2024,0
RA-1551,9.59,3.5,4.77,7.5,5.0,7.51,6.79,,,,,2024,0
RA-1552,9.59,3.17,9.74,7.19,10.0,7.51,7.17,,,,,2024,0
RA-1553,8.33,4.33,9.0,8.33,10.0,7.51,7.78,,,,,2024,0
RA-1554,6.67,4.0,9.63,7.29,5.0,8.76,7.22,,,,,2024,0
RA-1555,8.33,3.0,10.0,8.13,10.0,6.26,8.06,,,,,2024,0
RA-1556,7.92,4.0,5.22,7.92,10.0,7.51,7.44,,,,,2024,0
RA-1557,9.59,7.0,8.92,7.92,10.0,7.51,7.72,,,,,2024,0
RA-1558,9.17,5.5,8.71,8.5,5.0,8.76,8.3,,,,,2024,0
RA-1559,7.92,4.67,5.29,8.38,5.0,6.89,7.6,,,,,2024,0
RA-156,10.0,4.4,8.3,,5.0,9.4,7.79,7.36,Sem limitações,Não,-1.0,2022,0
RA-1560,9.17,8.17,9.21,8.5,10.0,5.64,8.34,,,,,2024,0
RA-1561,9.59,9.0,9.17,8.0,5.0,5.0,7.73,,,,,2024,0
RA-1562,6.25,0.5,8.67,6.25,5.0,5.01,6.87,,,,,2024,0
RA-1563,8.75,7.0,8.31,7.25,5.0,7.51,8.46,,,,,2024,0
RA-1564,8.33,2.17,4.94,5.75,5.0,6.89,5.29,,,,,2024,0
RA-1565,0.0,5.5,8.1,6.38,5.0,7.51,6.04,,,,,2024,0
RA-1566,9.17,6.5,9.25,7.75,5.0,7.51,8.34,,,,,2024,0
RA-1567,8.33,8.17,8.77,7.75,5.0,7.51,8.34,,,,,2024,0
RA-1568,9.17,8.17,7.49,8.0,5.0,7.51,8.5,,,,,2024,0
RA-1569,6.67,2.17,7.11,6.88,5.0,6.26,6.92,,,,,2024,0
RA-157,7.5,7.7,10.0,,10.0,6.3,8.29,8.32,Requer avaliação,Não,1.0,2022,1
RA-157,7.1,6.8,9.9,8.59,10.0,2.52,8.63,8.32,,,,2023,0
RA-157,8.33,9.67,10.0,8.13,10.0,6.26,8.73,8.32,,,,2024,0
RA-1570,9.59,8.33,7.54,7.75,5.0,7.51,8.67,,,,,2024,0
RA-1571,8.33,5.67,9.11,7.5,5.0,5.01,8.55,,,,,2024,0
RA-1572,9.17,7.5,9.84,7.66,5.0,7.51,8.39,,,,,2024,0
RA-1573,9.17,5.0,6.12,7.66,5.0,6.26,8.56,,,,,2024,0
RA-1574,8.75,7.33,8.4,7.81,5.0,7.51,8.62,,,,,2024,0
RA-1575,9.17,5.33,8.62,7.66,5.0,6.89,8.28,,,,,2024,0
RA-1576,8.33,6.67,9.52,6.41,5.0,5.64,8.44,,,,,2024,0
RA-1577,10.0,4.33,4.99,7.34,5.0,7.51,7.27,,,,,2024,0
RA-1578,8.33,7.33,6.76,7.5,10.0,7.51,8.64,,,,,2024,0
RA-1579,8.75,7.17,9.09,8.5,5.0,5.64,9.27,,,,,2024,0
RA-158,7.9,6.6,9.8,,2.5,5.6,8.13,7.3,Requer avaliação,Não,-3.0,2022,1
RA-158,7.1,6.0,9.0,8.28,10.0,2.52,7.55,7.3,,,,2023,1
RA-158,8.33,4.0,7.8,6.88,10.0,6.26,6.75,7.3,,,,2024,0
RA-1580,8.75,6.17,9.05,7.88,5.0,7.51,9.17,,,,,2024,0
RA-1581,8.33,6.33,7.83,7.08,5.0,6.26,7.39,,,,,2024,0
RA-1582,8.33,4.5,8.07,6.67,5.0,6.26,6.67,,,,,2024,0
RA-1583,7.92,8.17,7.75,9.17,5.0,6.26,9.01,,,,,2024,0
RA-1584,8.33,5.5,9.15,7.81,5.0,7.51,8.17,,,,,2024,0
RA-1585,10.0,4.0,6.78,7.66,5.0,7.51,7.79,,,,,2024,0
RA-1586,10.0,5.67,6.13,6.88,5.0,5.01,7.54,,,,,2024,0
RA-1587,9.17,3.75,10.0,7.81,5.0,7.51,8.21,,,,,2024,0
RA-1588,7.92,4.0,8.64,7.5,10.0,7.51,7.42,,,,,2024,0
RA-1589,0.0,2.5,6.26,7.5,5.0,7.51,7.54,,,,,2024,0
RA-159,8.3,4.7,8.1,,5.0,5.6,6.46,6.49,Requer avaliação,Não,-1.0,2022,0
RA-159,7.9,6.3,8.1,8.13,5.0,2.52,7.88,6.49,,,,2023,0
RA-1590,7.92,8.67,8.27,10.0,5.0,7.51,8.81,,,,,2024,0
RA-1591,7.08,3.5,6.43,8.13,5.0,7.51,7.06,,,,,2024,0
RA-1592,7.92,5.5,6.85,8.13,5.0,7.51,7.43,,,,,2024,0
RA-1593,6.25,6.5,4.87,9.06,5.0,6.26,8.54,,,,,2024,0
RA-1594,9.59,3.0,6.11,6.25,5.0,6.26,6.0,,,,,2024,0
RA-1595,8.33,2.33,7.95,7.4,10.0,6.26,7.02,,,,,2024,0
RA-1596,8.75,3.33,10.0,8.23,5.0,7.51,8.23,,,,,2024,0
RA-1597,7.5,2.83,8.41,8.13,5.0,7.51,8.28,,,,,2024,0
RA-1598,9.59,7.5,8.86,8.38,10.0,7.51,8.24,,,,,2024,0
RA-1599,8.33,6.5,9.67,7.75,5.0,7.51,7.57,,,,,2024,0
RA-16,7.9,3.5,8.3,,5.0,5.0,6.33,6.11,Requer avaliação,Não,-1.0,2022,0
RA-160,7.5,5.3,7.2,,5.0,5.6,8.25,6.75,Requer avaliação,Não,-1.0,2022,1
RA-160,8.8,5.0,8.3,8.13,5.0,2.52,7.46,6.75,,,,2023,0
RA-160,8.33,5.67,7.42,7.34,5.0,6.26,7.72,6.75,,,,2024,0
RA-1600,8.75,5.67,8.43,7.25,5.0,6.26,6.03,,,,,2024,0
RA-1601,8.75,6.5,7.0,7.5,5.0,7.51,8.34,,,,,2024,0
RA-1602,7.92,7.17,8.78,7.34,10.0,7.51,7.88,,,,,2024,0
RA-1603,7.5,8.33,9.26,7.5,5.0,7.51,7.84,,,,,2024,0
RA-1604,9.17,8.5,7.78,8.13,5.0,7.51,8.88,,,,,2024,0
RA-1605,0.0,2.5,5.07,7.5,5.0,7.51,7.03,,,,,2024,0
RA-1606,8.33,2.5,5.15,7.81,5.0,7.51,7.13,,,,,2024,0
RA-1607,5.83,0.0,6.22,6.56,5.0,5.64,6.76,,,,,2024,0
RA-1608,8.75,5.0,7.2,6.41,10.0,7.51,6.83,,,,,2024,0
RA-1609,8.33,6.0,9.67,7.71,5.0,7.51,7.94,,,,,2024,0
RA-161,7.9,6.9,9.1,,10.0,5.6,8.08,7.96,Requer avaliação,Não,2.0,2022,1
RA-161,0.0,5.8,7.3,8.13,10.0,2.52,7.8,7.96,,,,2023,1
RA-161,8.75,4.0,7.97,7.97,10.0,6.26,7.84,7.96,,,,2024,0
RA-1610,9.17,5.17,7.75,7.29,5.0,7.51,6.11,,,,,2024,0
RA-1611,7.08,4.5,8.36,7.5,5.0,7.51,5.89,,,,,2024,0
RA-1612,6.67,6.17,8.52,7.71,5.0,7.51,6.94,,,,,2024,0
RA-1613,8.33,3.0,7.14,7.29,5.0,7.51,6.22,,,,,2024,0
RA-1614,7.5,6.5,6.57,7.5,5.0,7.51,7.11,,,,,2024,0
RA-1615,7.92,8.33,9.83,7.5,10.0,7.51,7.46,,,,,2024,0
RA-1616,8.33,6.17,8.44,7.19,5.0,7.51,7.12,,,,,2024,0
RA-1617,0.0,3.25,5.57,6.88,5.0,7.51,6.12,,,,,2024,0
RA-1618,8.33,6.33,7.91,7.5,5.0,7.51,6.83,,,,,2024,0
RA-1619,7.5,4.25,9.26,7.5,10.0,7.51,7.21,,,,,2024,0
RA-162,6.7,5.5,8.5,,10.0,7.5,6.54,7.22,Requer avaliação,Não,0.0,2022,0
RA-1620,8.75,5.17,6.67,7.5,5.0,7.51,7.05,,,,,2024,0
RA-1621,7.92,8.33,10.0,8.33,5.0,6.26,8.45,,,,,2024,0
RA-1622,8.33,9.67,10.0,8.33,5.0,7.51,7.89,,,,,2024,0
RA-1623,9.17,6.0,8.52,7.81,10.0,6.26,7.67,,,,,2024,0
RA-1624,7.92,7.5,9.46,7.81,5.0,7.51,7.64,,,,,2024,0
RA-1625,7.5,4.33,7.11,7.19,10.0,7.51,6.9,,,,,2024,0
RA-1626,8.75,7.33,9.7,8.28,10.0,7.51,8.4,,,,,2024,0
RA-1627,7.08,7.83,7.78,7.66,5.0,7.51,8.17,,,,,2024,0
RA-1628,8.33,5.83,8.51,6.88,10.0,7.51,6.8,,,,,2024,0
RA-1629,9.59,7.25,8.65,7.19,5.0,7.51,7.27,,,,,2024,0
RA-163,8.8,6.7,7.9,,5.0,5.6,6.5,6.8,Requer avaliação,Não,-1.0,2022,0
RA-1630,8.33,7.33,9.83,8.25,10.0,7.51,8.7,,,,,2024,0
RA-1631,9.59,7.17,10.0,8.5,5.0,7.51,8.47,,,,,2024,0
RA-1632,9.17,6.67,10.0,7.75,10.0,7.51,8.07,,,,,2024,0
RA-1633,,,0.0,,10.0,,,,,,,2024,0
RA-1634,,,0.0,,10.0,,,,,,,2024,0
RA-1635,,,0.0,,10.0,,,,,,,2024,0
RA-1636,,,0.0,,10.0,,,,,,,2024,0
RA-1637,,,0.0,,10.0,,,,,,,2024,0
RA-1638,,,0.0,,10.0,,,,,,,2024,0
RA-1639,,,0.0,,10.0,,,,,,,2024,0
RA-164,8.3,6.5,7.3,,5.0,5.6,7.21,6.78,Requer avaliação,Não,-2.0,2022,1
